applicant_id,gender,age,num_children,family_size,family_status,education_type,housing_type,own_car,own_property,income_type,occupation_type,annual_income,years_employed,credit_history_months,existing_credit_lines,debt_to_income_ratio,late_payments_24m,has_email,has_work_phone,approved,application_date,product_type,requested_credit_limit,application_channel,application_purpose,monthly_debt_obligation,monthly_expenses,total_outstanding_debt,current_credit_limit,current_credit_balance,credit_score,synthetic_enrichment,synthetic_version,monthly_income,disposable_income,credit_utilization_ratio,total_credit_exposure,income_band,dti_band,credit_history_band,employment_band,payment_risk_indicator,model_target_approval
103415,F,41,1,3,Separated,Higher education,House / apartment,Y,Y,State servant,Cooking staff,87700.0,5.5,127,1,0.266,0,1,0,1,2025-09-14,Credit Card,58404.14,Web,Debt Consolidation,2133.71,4700.37,22335.6,30929.53,6087.04,726,1,v1.0,7308.33,474.25,0.1968,28422.64,High,Moderate,Long,Experienced,Low,1
103416,M,45,1,2,Single / not married,Higher education,With parents,N,Y,Pensioner,Core staff,12500.0,0.0,155,0,0.077,0,1,1,1,2026-01-19,Credit Card,52284.02,Web,Emergency Expense,70.89,530.7,964.48,5000.0,1196.06,709,1,v1.0,1041.67,440.08,0.2392,2160.54,Low,Low,Long,New,Low,1
103417,F,27,2,4,Single / not married,Higher education,House / apartment,Y,Y,Working,Laborers,104800.0,0.7,24,2,0.303,0,1,1,1,2026-06-30,Personal Loan,27986.59,Branch,Debt Consolidation,2720.62,3277.69,25270.5,55786.11,12431.63,651,1,v1.0,8733.33,2735.02,0.2228,37702.13,Very High,Moderate,Developing,New,Low,1
103418,M,42,2,3,Separated,Secondary,House / apartment,Y,Y,Working,Accountants,37800.0,2.6,82,2,0.207,0,1,1,0,2025-03-02,Credit Card,81802.87,Web,General Spending,603.11,1397.61,12656.92,40786.76,9827.02,646,1,v1.0,3150.0,1149.28,0.2409,22483.94,Medium,Moderate,Long,Early Career,Low,0
103419,M,41,0,2,Married,Higher education,House / apartment,N,N,Working,Laborers,60700.0,2.7,79,0,0.193,0,0,0,1,2025-06-26,Credit Line,84137.81,Partner,Debt Consolidation,1036.52,1688.68,17588.49,10804.98,1479.9,679,1,v1.0,5058.33,2333.13,0.137,19068.39,High,Low,Long,Early Career,Low,1
103420,F,42,0,2,Single / not married,Incomplete higher,House / apartment,N,Y,Pensioner,Cooking staff,42900.0,0.0,25,3,0.314,0,0,1,0,2025-11-18,Credit Card,56110.91,Partner,Travel,1151.44,1492.21,26283.44,25119.92,4821.14,650,1,v1.0,3575.0,931.35,0.1919,31104.58,Medium,Moderate,Developing,New,Low,0
103421,F,40,0,1,Single / not married,Higher education,House / apartment,Y,Y,Commercial associate,Laborers,48800.0,13.6,44,2,0.201,0,0,0,0,2026-05-06,Credit Card,104603.96,Web,General Spending,851.33,1636.97,14812.55,42303.49,9806.03,619,1,v1.0,4066.67,1578.37,0.2318,24618.58,Medium,Moderate,Established,Long Tenure,Low,0
103422,F,25,4,6,Widow,Higher education,House / apartment,Y,N,Working,High skill tech staff,34900.0,1.9,8,1,0.386,0,1,0,0,2026-01-10,Credit Card,82369.92,Mobile App,General Spending,1058.26,1527.71,9542.52,18833.41,4120.51,568,1,v1.0,2908.33,322.36,0.2188,13663.03,Medium,High,New,Early Career,Low,0
103423,M,25,0,2,Married,Secondary,Rented apartment,Y,Y,Pensioner,Laborers,65800.0,0.0,7,1,0.282,0,1,0,1,2025-08-27,Credit Card,35625.23,Branch,Education,1417.67,3398.84,23506.94,38749.73,4155.08,586,1,v1.0,5483.33,666.82,0.1072,27662.02,High,Moderate,New,New,Low,1
103424,F,21,1,3,Married,Higher education,House / apartment,N,Y,State servant,Managers,47800.0,4.0,0,0,0.124,0,1,0,1,2026-01-16,Credit Card,55778.01,Mobile App,General Spending,468.62,1587.32,4338.43,11446.89,3450.58,605,1,v1.0,3983.33,1927.39,0.3014,7789.01,Medium,Low,New,Experienced,Low,1
103425,F,48,1,2,Married,Higher education,House / apartment,N,Y,Working,Laborers,45100.0,13.1,176,0,0.179,0,1,0,1,2026-09-03,Personal Loan,55082.02,Web,Travel,689.31,2242.42,15868.43,12893.7,1162.26,794,1,v1.0,3758.33,826.6,0.0901,17030.69,Medium,Low,Long,Long Tenure,Low,1
103426,F,49,1,3,Married,Secondary,House / apartment,N,Y,Working,Unknown,133900.0,7.8,34,1,0.352,0,1,0,1,2025-10-27,Credit Card,43104.29,Mobile App,General Spending,3851.62,6768.92,71272.27,59577.69,19301.99,616,1,v1.0,11158.33,537.79,0.324,90574.26,Very High,High,Developing,Long Tenure,Low,1
103427,F,49,0,2,Married,Higher education,House / apartment,N,Y,Working,Managers,44100.0,8.5,105,2,0.162,0,0,1,1,2026-07-05,Credit Card,85659.61,Branch,Emergency Expense,607.41,1916.23,8240.74,30404.12,5567.75,706,1,v1.0,3675.0,1151.36,0.1831,13808.49,Medium,Low,Long,Long Tenure,Low,1
103428,F,43,0,2,Married,Higher education,House / apartment,N,Y,Pensioner,Laborers,12000.0,0.0,125,2,0.24,0,1,0,0,2026-05-01,Personal Loan,26914.14,Partner,Debt Consolidation,220.34,544.6,3910.32,23824.77,7416.24,729,1,v1.0,1000.0,235.06,0.3113,11326.56,Low,Moderate,Long,New,Low,0
103429,F,21,0,2,Married,Higher education,House / apartment,Y,N,Working,Laborers,111300.0,3.0,0,1,0.24,0,0,1,1,2025-07-07,Personal Loan,27760.04,Mobile App,General Spending,2224.84,5373.76,44565.47,55650.4,12575.6,527,1,v1.0,9275.0,1676.4,0.226,57141.07,Very High,Moderate,New,Early Career,Low,1
103430,F,28,0,2,Widow,Secondary,With parents,Y,Y,Working,High skill tech staff,33200.0,3.8,20,2,0.115,0,1,1,0,2025-06-05,Credit Card,53613.6,Branch,General Spending,353.68,1190.39,8147.59,23725.65,4173.42,646,1,v1.0,2766.67,1222.6,0.1759,12321.01,Medium,Low,Developing,Experienced,Low,0
103431,F,41,0,2,Widow,Secondary,Municipal apartment,N,Y,Working,Drivers,130800.0,4.0,73,3,0.442,0,1,0,1,2026-04-25,Credit Card,54854.48,Branch,General Spending,4945.89,7033.38,89146.54,98473.36,31557.76,707,1,v1.0,10900.0,-1079.27,0.3205,120704.3,Very High,High,Long,Experienced,Low,1
103432,F,41,0,2,Married,Academic degree,Rented apartment,N,Y,Pensioner,Sales staff,32500.0,0.0,111,0,0.094,0,0,1,1,2025-05-10,Credit Card,54880.81,Mobile App,Emergency Expense,262.63,1174.41,4936.9,7473.72,1355.57,785,1,v1.0,2708.33,1271.29,0.1814,6292.47,Medium,Low,Long,New,Low,1
103433,M,37,1,3,Civil marriage,Secondary,Municipal apartment,N,N,Student,Laborers,18500.0,0.7,42,3,0.268,0,1,1,0,2025-07-29,Credit Card,26821.52,Mobile App,General Spending,426.48,508.29,6148.88,32569.94,8087.09,635,1,v1.0,1541.67,606.9,0.2483,14235.97,Low,Moderate,Established,New,Low,0
103434,F,44,0,1,Separated,Secondary,Rented apartment,N,Y,Commercial associate,High skill tech staff,30000.0,2.1,137,1,0.157,0,0,0,1,2025-05-27,Personal Loan,103015.17,Mobile App,General Spending,376.43,1391.25,4365.81,17240.52,3272.83,699,1,v1.0,2500.0,732.32,0.1898,7638.64,Low,Low,Long,Early Career,Low,1
103435,M,40,0,2,Married,Lower secondary,House / apartment,Y,Y,Working,Managers,69800.0,3.2,49,1,0.121,0,0,0,1,2026-01-13,Credit Card,19545.97,Branch,Debt Consolidation,795.69,2426.97,10850.03,22955.21,5901.49,630,1,v1.0,5816.67,2594.01,0.2571,16751.52,High,Low,Established,Experienced,Low,1
103436,M,41,0,1,Married,Secondary,House / apartment,N,N,State servant,Sales staff,34200.0,0.4,65,4,0.328,0,0,0,0,2025-07-03,Credit Card,28926.29,Web,Education,961.5,882.67,17872.47,51603.44,10106.87,644,1,v1.0,2850.0,1005.83,0.1959,27979.34,Medium,Moderate,Long,New,Low,0
103437,F,32,0,2,Married,Secondary,House / apartment,N,Y,Working,Unemployed,69500.0,3.9,36,3,0.388,0,1,0,0,2026-02-15,Personal Loan,86336.72,Mobile App,General Spending,2279.02,2100.49,50027.98,58961.78,22373.49,598,1,v1.0,5791.67,1412.16,0.3795,72401.47,High,High,Developing,Experienced,Low,0
103438,F,50,0,2,Married,Secondary,House / apartment,N,Y,Working,Core staff,56900.0,5.2,138,3,0.33,0,1,0,0,2026-08-06,Credit Card,19965.41,Mobile App,Debt Consolidation,1650.75,2035.45,30782.14,60351.24,16844.65,693,1,v1.0,4741.67,1055.47,0.2791,47626.79,Medium,Moderate,Long,Experienced,Low,0
103439,F,35,0,1,Civil marriage,Academic degree,House / apartment,Y,Y,Pensioner,Unknown,54100.0,0.0,25,1,0.207,0,1,0,0,2026-06-01,Credit Card,87071.33,Web,Education,1003.46,1688.22,23383.68,22816.15,6853.05,591,1,v1.0,4508.33,1816.65,0.3004,30236.73,Medium,Moderate,Developing,New,Low,0
103440,M,25,1,2,Married,Secondary,House / apartment,Y,Y,Working,Security staff,36700.0,0.7,10,2,0.304,0,1,1,0,2026-08-14,Credit Card,14981.62,Mobile App,Debt Consolidation,837.09,1063.5,15699.04,21834.44,4085.5,562,1,v1.0,3058.33,1157.74,0.1871,19784.54,Medium,Moderate,New,New,Low,0
103441,F,31,0,1,Single / not married,Higher education,House / apartment,N,N,Working,Unknown,30400.0,10.0,18,0,0.089,0,1,0,0,2025-01-16,Credit Line,54527.09,Web,Education,226.48,904.15,4091.27,9839.75,3315.33,575,1,v1.0,2533.33,1402.7,0.3369,7406.6,Medium,Low,Developing,Long Tenure,Low,0
103442,M,36,3,4,Married,Higher education,House / apartment,Y,Y,Working,Security staff,41100.0,7.9,29,0,0.169,0,1,0,0,2025-10-11,Personal Loan,55472.21,Mobile App,Debt Consolidation,682.33,1778.51,5595.16,9965.57,2495.72,629,1,v1.0,3425.0,964.16,0.2504,8090.88,Medium,Low,Developing,Long Tenure,Low,0
103443,F,50,0,2,Married,Secondary,House / apartment,N,Y,State servant,Drivers,63300.0,8.2,103,3,0.409,0,0,0,1,2025-05-18,Credit Card,65349.37,Branch,Emergency Expense,2443.18,1819.52,43387.91,53230.47,22819.69,716,1,v1.0,5275.0,1012.3,0.4287,66207.6,High,High,Long,Long Tenure,Low,1
103444,F,39,3,5,Married,Secondary,House / apartment,N,Y,Commercial associate,Sales staff,104300.0,11.2,81,2,0.391,0,1,0,0,2026-07-26,Personal Loan,49393.11,Branch,Emergency Expense,3369.51,4990.42,30874.38,40812.28,9825.26,671,1,v1.0,8691.67,331.74,0.2407,40699.64,Very High,High,Long,Long Tenure,Low,0
103445,F,37,2,3,Married,Secondary,House / apartment,Y,Y,Pensioner,Security staff,24000.0,0.0,70,0,0.074,0,1,0,1,2026-03-20,Credit Card,27866.81,Branch,General Spending,156.62,1189.22,2561.5,5563.52,495.8,720,1,v1.0,2000.0,654.16,0.0891,3057.3,Low,Low,Long,New,Low,1
103446,F,26,1,2,Civil marriage,Academic degree,Co-op apartment,N,N,Working,Unemployed,49300.0,6.1,26,0,0.296,0,1,0,0,2025-07-19,Credit Card,109502.97,Mobile App,Debt Consolidation,1184.29,2272.81,20583.48,9181.77,2102.9,632,1,v1.0,4108.33,651.23,0.229,22686.38,Medium,Moderate,Developing,Experienced,Low,0
103447,F,48,2,4,Civil marriage,Incomplete higher,Municipal apartment,N,N,Commercial associate,Laborers,57900.0,12.9,127,1,0.375,0,1,1,0,2025-12-18,Credit Card,31082.97,Web,Debt Consolidation,1860.57,1861.47,34121.78,28667.11,9404.79,729,1,v1.0,4825.0,1102.96,0.3281,43526.57,Medium,High,Long,Long Tenure,Low,0
103448,F,32,0,1,Married,Incomplete higher,House / apartment,Y,Y,Commercial associate,Security staff,36500.0,0.8,60,2,0.265,0,1,0,0,2026-01-13,Credit Card,32559.69,Branch,General Spending,776.49,1526.15,17035.36,23408.95,7760.15,611,1,v1.0,3041.67,739.03,0.3315,24795.51,Medium,Moderate,Established,New,Low,0
103449,M,38,0,2,Married,Secondary,House / apartment,N,Y,Working,Security staff,30100.0,1.6,102,0,0.263,0,1,0,0,2025-11-05,Credit Card,81632.54,Web,Debt Consolidation,634.61,806.1,9879.37,7211.83,1330.08,668,1,v1.0,2508.33,1067.62,0.1844,11209.45,Medium,Moderate,Long,Early Career,Low,0
103450,M,56,0,1,Single / not married,Secondary,House / apartment,N,N,Pensioner,Unknown,28800.0,0.0,153,0,0.251,0,1,0,0,2025-10-23,Credit Line,78569.54,Mobile App,Emergency Expense,573.88,1511.87,9005.8,9630.97,3023.02,703,1,v1.0,2400.0,314.25,0.3139,12028.82,Low,Moderate,Long,New,Low,0
103451,F,45,0,2,Married,Higher education,House / apartment,Y,N,Pensioner,Accountants,43600.0,0.0,153,3,0.275,0,1,0,0,2025-02-04,Credit Card,85700.63,Mobile App,General Spending,1133.64,1099.37,19021.52,51790.92,13641.37,706,1,v1.0,3633.33,1400.32,0.2634,32662.89,Medium,Moderate,Long,New,Low,0
103452,F,22,0,2,Single / not married,Higher education,With parents,N,Y,Commercial associate,Cooking staff,47200.0,1.5,2,2,0.319,0,1,0,0,2025-10-09,Personal Loan,110467.38,Web,General Spending,1206.51,1484.94,16109.82,35965.37,11638.87,542,1,v1.0,3933.33,1241.88,0.3236,27748.69,Medium,Moderate,New,Early Career,Low,0
103453,M,21,1,2,Married,Higher education,Rented apartment,N,Y,Commercial associate,Sales staff,80400.0,23.4,0,1,0.414,0,0,0,1,2025-08-05,Personal Loan,88359.27,Web,General Spending,3027.16,2204.62,37370.19,29866.56,5559.4,603,1,v1.0,6700.0,1468.22,0.1861,42929.59,High,High,New,Long Tenure,Low,1
103454,F,39,0,1,Single / not married,Incomplete higher,House / apartment,N,N,Commercial associate,Managers,26500.0,8.1,87,1,0.12,0,1,0,1,2026-05-25,Credit Card,102636.51,Partner,General Spending,255.85,1431.33,2484.62,13462.04,1698.82,730,1,v1.0,2208.33,521.15,0.1262,4183.44,Low,Low,Long,Long Tenure,Low,1
103455,M,26,0,2,Married,Incomplete higher,House / apartment,Y,Y,Working,Laborers,51900.0,7.6,22,3,0.265,0,1,0,1,2026-06-23,Credit Card,82747.08,Branch,Debt Consolidation,1096.05,1359.11,23494.77,55796.92,7061.81,578,1,v1.0,4325.0,1869.84,0.1266,30556.58,Medium,Moderate,Developing,Long Tenure,Low,1
103456,F,47,0,1,Separated,Secondary,House / apartment,N,Y,Working,Sales staff,20300.0,4.6,48,2,0.12,0,0,1,0,2026-04-13,Credit Card,78304.72,Branch,General Spending,209.32,508.52,1814.39,19829.33,3674.7,637,1,v1.0,1691.67,973.83,0.1853,5489.09,Low,Low,Established,Experienced,Low,0
103457,F,40,1,3,Married,Incomplete higher,House / apartment,N,Y,Commercial associate,Security staff,63000.0,1.5,62,0,0.171,0,1,1,1,2025-01-20,Credit Card,64057.43,Partner,General Spending,804.47,1759.93,19065.05,15591.63,4385.78,631,1,v1.0,5250.0,2685.6,0.2813,23450.83,High,Low,Long,Early Career,Low,1
103458,F,41,4,5,Married,Higher education,Rented apartment,Y,Y,Working,Laborers,35300.0,0.8,92,1,0.4,0,1,0,0,2026-06-09,Credit Card,30497.46,Web,General Spending,1239.23,1789.82,15646.68,20330.6,7584.77,647,1,v1.0,2941.67,-87.38,0.3731,23231.45,Medium,High,Long,New,Low,0
103459,F,32,0,2,Married,Higher education,With parents,N,N,Working,Cooking staff,77300.0,4.5,60,1,0.122,0,0,1,1,2025-09-04,Credit Line,106621.86,Mobile App,Education,777.32,2835.99,14949.87,26951.32,3603.48,689,1,v1.0,6441.67,2828.36,0.1337,18553.35,High,Low,Established,Experienced,Low,1
103460,M,59,0,2,Widow,Higher education,With parents,N,Y,Working,Unknown,13300.0,6.5,49,1,0.279,1,1,1,0,2025-09-17,Personal Loan,76916.11,Mobile App,Travel,295.6,698.97,5823.47,15073.59,5267.7,584,1,v1.0,1108.33,113.76,0.3495,11091.17,Low,Moderate,Established,Experienced,Moderate,0
103461,M,70,0,2,Married,Incomplete higher,House / apartment,Y,Y,Working,Unknown,86900.0,5.0,116,2,0.361,0,1,0,1,2026-08-12,Credit Card,37432.96,Branch,General Spending,2454.15,4604.41,35230.65,56909.09,16687.15,707,1,v1.0,7241.67,183.11,0.2932,51917.8,High,High,Long,Experienced,Low,1
103462,F,36,2,3,Separated,Higher education,With parents,N,Y,Student,Core staff,12000.0,3.7,91,1,0.074,0,1,1,0,2026-06-25,Credit Card,52333.41,Mobile App,General Spending,85.67,554.14,1248.07,14022.22,472.27,618,1,v1.0,1000.0,360.19,0.0337,1720.34,Low,Low,Long,Experienced,Low,0
103463,F,43,0,2,Married,Secondary,House / apartment,N,Y,State servant,Sales staff,41900.0,0.2,30,1,0.146,0,1,1,0,2025-02-01,Credit Card,30198.46,Partner,General Spending,508.38,1253.87,8929.9,14576.07,3184.1,670,1,v1.0,3491.67,1729.42,0.2184,12114.0,Medium,Low,Developing,New,Low,0
103464,M,41,3,5,Married,Secondary,Rented apartment,N,Y,Working,Managers,35400.0,5.5,37,0,0.371,0,0,0,0,2025-08-13,Credit Line,28855.22,Mobile App,General Spending,1087.75,1887.64,9909.74,6432.06,736.92,611,1,v1.0,2950.0,-25.39,0.1146,10646.66,Medium,High,Established,Experienced,Low,0
103465,F,37,0,2,Single / not married,Lower secondary,House / apartment,Y,N,Working,Sales staff,75000.0,4.4,86,1,0.241,0,0,1,1,2026-04-13,Credit Card,21403.01,Mobile App,Emergency Expense,1611.44,2833.55,13457.2,28804.83,6168.33,702,1,v1.0,6250.0,1805.01,0.2141,19625.53,High,Moderate,Long,Experienced,Low,1
103466,M,30,0,2,Civil marriage,Incomplete higher,House / apartment,N,Y,Working,Managers,59900.0,2.0,39,1,0.125,0,0,1,1,2025-12-02,Credit Card,36041.67,Branch,Debt Consolidation,581.95,2309.04,11382.94,28940.38,3923.53,642,1,v1.0,4991.67,2100.68,0.1356,15306.47,Medium,Low,Established,Early Career,Low,1
103467,F,28,3,4,Civil marriage,Secondary,House / apartment,N,Y,Pensioner,Laborers,43300.0,0.0,44,1,0.224,0,0,0,0,2025-06-10,Credit Card,55607.88,Branch,Debt Consolidation,881.61,1886.76,14380.36,29880.06,7910.09,639,1,v1.0,3608.33,839.96,0.2647,22290.45,Medium,Moderate,Established,New,Low,0
103468,F,27,3,4,Married,Higher education,House / apartment,Unknown,Y,Working,Security staff,64600.0,7.1,37,2,0.327,0,0,1,0,2025-11-23,Credit Card,85134.4,Branch,Travel,1755.32,2964.27,42080.03,26513.43,8094.36,591,1,v1.0,5383.33,663.74,0.3053,50174.39,High,Moderate,Established,Long Tenure,Low,0
103469,M,44,1,2,Separated,Secondary,Rented apartment,Y,N,Student,Sales staff,15200.0,21.5,114,1,0.28,2,1,1,0,2026-06-24,Credit Card,53040.06,Mobile App,Travel,315.4,806.7,4031.2,12506.31,6307.51,632,1,v1.0,1266.67,144.57,0.5043,10338.71,Low,Moderate,Long,Long Tenure,High,0
103470,M,34,0,1,Married,Secondary,With parents,N,Y,Working,Drivers,34800.0,4.2,24,1,0.332,0,1,1,0,2025-05-20,Personal Loan,16514.16,Mobile App,General Spending,921.94,1855.48,12876.48,18408.47,4703.07,541,1,v1.0,2900.0,122.58,0.2555,17579.55,Medium,Moderate,Developing,Experienced,Low,0
103471,F,21,1,2,Married,Higher education,With parents,N,Y,Commercial associate,Drivers,70200.0,0.4,0,4,0.308,0,0,1,0,2026-04-10,Credit Card,15879.37,Web,Debt Consolidation,1643.94,2601.86,29849.21,43060.58,11573.95,623,1,v1.0,5850.0,1604.2,0.2688,41423.16,High,Moderate,New,New,Low,0
103472,F,44,0,1,Married,Secondary,House / apartment,Y,Y,Student,Sales staff,24000.0,15.8,75,0,0.189,0,0,1,0,2026-04-03,Credit Card,77252.08,Partner,General Spending,380.45,699.49,7228.33,7411.5,1031.29,707,1,v1.0,2000.0,920.06,0.1391,8259.62,Low,Low,Long,Long Tenure,Low,0
103473,F,39,0,1,Married,Secondary,With parents,N,N,Working,Unemployed,39500.0,3.7,40,0,0.114,0,1,0,0,2026-07-06,Credit Card,81409.54,Mobile App,Debt Consolidation,351.43,2042.34,4983.9,8736.84,1185.89,671,1,v1.0,3291.67,897.9,0.1357,6169.79,Medium,Low,Established,Experienced,Low,0
103474,F,54,0,1,Married,Incomplete higher,House / apartment,N,Y,Working,Managers,35000.0,30.8,200,0,0.152,0,1,0,1,2025-07-05,Credit Card,103400.22,Web,General Spending,411.28,996.44,4092.81,7634.79,1174.27,715,1,v1.0,2916.67,1508.95,0.1538,5267.08,Medium,Low,Long,Long Tenure,Low,1
103475,F,44,0,1,Married,Incomplete higher,House / apartment,Y,Y,Commercial associate,Accountants,62300.0,4.2,71,1,0.24,0,0,0,1,2025-05-15,Credit Line,23649.64,Mobile App,General Spending,1275.13,2561.74,11586.91,31371.19,6641.44,681,1,v1.0,5191.67,1354.8,0.2117,18228.35,High,Moderate,Long,Experienced,Low,1
103476,F,23,1,2,Widow,Higher education,House / apartment,N,Y,Pensioner,Laborers,53600.0,0.0,7,0,0.097,0,1,0,1,2025-12-08,Credit Card,109892.95,Branch,General Spending,434.79,1599.81,3490.51,20081.93,6860.41,580,1,v1.0,4466.67,2432.07,0.3416,10350.92,Medium,Low,New,New,Low,1
103477,F,21,0,1,Single / not married,Secondary,Rented apartment,N,N,Commercial associate,Sales staff,54400.0,0.5,0,3,0.306,0,0,0,0,2025-11-27,Personal Loan,14916.03,Mobile App,General Spending,1521.39,1928.45,21187.1,55530.99,14034.53,606,1,v1.0,4533.33,1083.49,0.2527,35221.63,Medium,Moderate,New,New,Low,0
103478,F,32,3,5,Married,Secondary,House / apartment,N,Y,Commercial associate,Laborers,48700.0,0.8,71,2,0.217,0,0,1,0,2025-09-13,Credit Card,108426.03,Partner,General Spending,962.73,1969.94,11994.74,44506.21,14393.54,659,1,v1.0,4058.33,1125.66,0.3234,26388.28,Medium,Moderate,Long,New,Low,0
103479,M,33,0,1,Civil marriage,Secondary,Rented apartment,Y,N,Working,Core staff,47900.0,4.3,47,2,0.254,0,1,0,0,2026-05-01,Personal Loan,56910.11,Mobile App,Emergency Expense,1018.86,2182.44,8501.4,32216.86,8828.18,619,1,v1.0,3991.67,790.37,0.274,17329.58,Medium,Moderate,Established,Experienced,Low,0
103480,M,50,0,1,Married,Secondary,Municipal apartment,N,Y,Pensioner,High skill tech staff,15500.0,0.0,105,2,0.389,0,0,0,0,2026-05-13,Credit Line,26388.21,Web,General Spending,522.54,828.38,9693.8,27875.4,9245.46,660,1,v1.0,1291.67,-59.25,0.3317,18939.26,Low,High,Long,New,Low,0
103481,F,39,1,2,Married,Incomplete higher,House / apartment,Y,N,Working,Laborers,92000.0,4.6,22,2,0.247,0,0,0,1,2025-06-03,Credit Card,95910.89,Branch,Education,1680.44,4764.9,22984.67,53178.77,12728.61,598,1,v1.0,7666.67,1221.33,0.2394,35713.28,High,Moderate,Developing,Experienced,Low,1
103482,M,52,2,4,Married,Higher education,Co-op apartment,N,Y,Working,Unknown,48900.0,25.6,51,1,0.154,0,0,0,0,2026-05-11,Credit Line,54880.38,Mobile App,General Spending,662.49,1964.79,11076.76,27905.88,5220.87,615,1,v1.0,4075.0,1447.72,0.1871,16297.63,Medium,Low,Established,Long Tenure,Low,0
103483,F,25,3,5,Married,Secondary,Co-op apartment,N,N,Pensioner,Laborers,20100.0,0.0,21,2,0.239,0,0,0,0,2025-05-24,Credit Card,14825.81,Mobile App,Education,413.48,685.66,9024.17,27766.28,6538.87,559,1,v1.0,1675.0,575.86,0.2355,15563.04,Low,Moderate,Developing,New,Low,0
103484,F,50,1,2,Married,Secondary,House / apartment,N,N,Working,Sales staff,25400.0,1.0,69,2,0.3,0,1,0,0,2025-09-11,Personal Loan,104992.7,Web,General Spending,683.47,1032.79,9444.09,19745.96,3499.69,640,1,v1.0,2116.67,400.41,0.1772,12943.78,Low,Moderate,Long,New,Low,0
103485,F,47,0,2,Single / not married,Lower secondary,House / apartment,N,Y,Working,Laborers,76100.0,2.0,107,0,0.0,0,1,1,1,2025-01-17,Credit Card,38898.69,Web,General Spending,0.0,2716.35,0.0,13885.72,1431.88,733,1,v1.0,6341.67,3625.32,0.1031,1431.88,High,Low,Long,Early Career,Low,1
103486,M,21,3,5,Married,Higher education,House / apartment,Y,Y,Pensioner,Managers,43100.0,0.0,0,1,0.249,0,0,1,0,2025-08-01,Credit Card,58053.4,Branch,General Spending,873.04,1655.12,10868.99,23822.41,5340.86,568,1,v1.0,3591.67,1063.51,0.2242,16209.85,Medium,Moderate,New,New,Low,0
103487,M,54,2,4,Civil marriage,Higher education,House / apartment,N,Y,Pensioner,Laborers,32100.0,0.0,197,1,0.272,0,0,0,0,2026-08-21,Credit Card,82000.87,Web,General Spending,710.65,1658.57,6136.55,18250.25,4384.26,689,1,v1.0,2675.0,305.78,0.2402,10520.81,Medium,Moderate,Long,New,Low,0
103488,M,41,0,2,Separated,Higher education,House / apartment,Y,N,Commercial associate,Sales staff,71500.0,0.8,64,0,0.352,0,1,0,0,2025-10-03,Credit Line,110780.93,Mobile App,General Spending,2338.04,2859.93,27130.59,18695.45,1768.45,729,1,v1.0,5958.33,760.36,0.0946,28899.04,High,High,Long,New,Low,0
103489,M,44,1,3,Married,Secondary,With parents,Y,N,Commercial associate,Core staff,50900.0,25.3,39,1,0.411,0,1,0,0,2026-03-19,Credit Line,54456.95,Partner,Debt Consolidation,1782.78,1334.34,39998.41,22339.02,4288.69,596,1,v1.0,4241.67,1124.55,0.192,44287.1,Medium,High,Established,Long Tenure,Low,0
103490,M,30,1,2,Single / not married,Academic degree,House / apartment,N,Y,Commercial associate,Sales staff,31500.0,2.6,18,1,0.204,0,1,0,0,2025-03-09,Credit Card,31704.2,Mobile App,General Spending,471.41,1415.97,4720.31,23356.59,6064.53,638,1,v1.0,2625.0,737.62,0.2596,10784.84,Medium,Moderate,Developing,Early Career,Low,0
103491,F,54,0,2,Married,Secondary,House / apartment,Y,Y,Commercial associate,Managers,96000.0,2.7,90,2,0.165,0,1,1,1,2026-01-31,Credit Line,108199.22,Web,General Spending,1388.05,3186.73,18443.79,50477.48,13080.61,633,1,v1.0,8000.0,3425.22,0.2591,31524.4,High,Low,Long,Early Career,Low,1
103492,F,26,4,6,Married,Higher education,House / apartment,N,N,Working,Laborers,79700.0,2.0,11,2,0.46,0,0,0,0,2025-08-20,Personal Loan,107984.74,Partner,General Spending,2941.93,2489.62,29585.4,52196.21,8225.93,493,1,v1.0,6641.67,1210.12,0.1576,37811.33,High,High,New,Early Career,Low,0
103493,F,49,0,2,Civil marriage,Secondary,House / apartment,N,Y,Pensioner,High skill tech staff,20000.0,0.0,145,3,0.257,0,0,0,0,2026-04-09,Credit Card,102683.91,Partner,Emergency Expense,465.5,947.13,4162.01,43524.38,10501.85,756,1,v1.0,1666.67,254.04,0.2413,14663.86,Low,Moderate,Long,New,Low,0
103494,F,49,1,3,Married,Secondary,Co-op apartment,N,Y,Working,Sales staff,81900.0,16.7,96,5,0.412,0,1,0,0,2026-08-02,Credit Card,29067.38,Mobile App,General Spending,2933.09,2442.96,41242.03,58627.89,32114.87,681,1,v1.0,6825.0,1448.95,0.5478,73356.9,High,High,Long,Long Tenure,Low,0
103495,M,29,0,1,Married,Lower secondary,House / apartment,N,Y,Working,Managers,89700.0,7.5,39,3,0.302,0,1,1,1,2025-11-28,Credit Card,17541.54,Mobile App,General Spending,2481.47,3836.52,52511.64,57390.28,19045.2,643,1,v1.0,7475.0,1157.01,0.3319,71556.84,High,Moderate,Established,Long Tenure,Low,1
